,IEEE,00137A000001276A
,EP,01
,DeviceName,Z311G 2-2
,BeginTime,2015-04-13
,EndTime,2015-04-13

IEEE,EP,Intime,Lux
00137A000001276A,01,"4/13/2015 12:00:30 AM",1
00137A000001276A,01,"4/13/2015 12:01:29 AM",1
00137A000001276A,01,"4/13/2015 12:02:28 AM",1
00137A000001276A,01,"4/13/2015 12:03:27 AM",1
00137A000001276A,01,"4/13/2015 12:04:26 AM",1
00137A000001276A,01,"4/13/2015 12:05:25 AM",1
00137A000001276A,01,"4/13/2015 12:06:24 AM",1
00137A000001276A,01,"4/13/2015 12:07:23 AM",1
00137A000001276A,01,"4/13/2015 12:07:23 AM",1
00137A000001276A,01,"4/13/2015 12:08:22 AM",1
00137A000001276A,01,"4/13/2015 12:09:21 AM",1
00137A000001276A,01,"4/13/2015 12:10:20 AM",1
00137A000001276A,01,"4/13/2015 12:11:19 AM",1
00137A000001276A,01,"4/13/2015 12:12:18 AM",1
00137A000001276A,01,"4/13/2015 12:13:17 AM",1
00137A000001276A,01,"4/13/2015 12:14:16 AM",1
00137A000001276A,01,"4/13/2015 12:15:15 AM",1
00137A000001276A,01,"4/13/2015 12:16:14 AM",1
00137A000001276A,01,"4/13/2015 12:17:13 AM",1
00137A000001276A,01,"4/13/2015 12:19:11 AM",1
00137A000001276A,01,"4/13/2015 12:20:10 AM",1
00137A000001276A,01,"4/13/2015 12:21:09 AM",1
00137A000001276A,01,"4/13/2015 12:22:08 AM",1
00137A000001276A,01,"4/13/2015 12:23:06 AM",1
00137A000001276A,01,"4/13/2015 12:24:05 AM",1
00137A000001276A,01,"4/13/2015 12:25:04 AM",1
00137A000001276A,01,"4/13/2015 12:26:03 AM",1
00137A000001276A,01,"4/13/2015 12:27:02 AM",1
00137A000001276A,01,"4/13/2015 12:28:01 AM",1
00137A000001276A,01,"4/13/2015 12:29:00 AM",1
00137A000001276A,01,"4/13/2015 12:29:59 AM",1
00137A000001276A,01,"4/13/2015 12:30:58 AM",1
00137A000001276A,01,"4/13/2015 12:31:57 AM",1
00137A000001276A,01,"4/13/2015 12:32:56 AM",1
00137A000001276A,01,"4/13/2015 12:33:55 AM",1
00137A000001276A,01,"4/13/2015 12:34:54 AM",1
00137A000001276A,01,"4/13/2015 12:35:53 AM",1
00137A000001276A,01,"4/13/2015 12:36:52 AM",1
00137A000001276A,01,"4/13/2015 12:37:51 AM",1
00137A000001276A,01,"4/13/2015 12:38:50 AM",1
00137A000001276A,01,"4/13/2015 12:39:49 AM",1
00137A000001276A,01,"4/13/2015 12:40:48 AM",1
00137A000001276A,01,"4/13/2015 12:41:47 AM",1
00137A000001276A,01,"4/13/2015 12:42:46 AM",1
00137A000001276A,01,"4/13/2015 12:43:45 AM",1
00137A000001276A,01,"4/13/2015 12:44:44 AM",1
00137A000001276A,01,"4/13/2015 12:45:43 AM",1
00137A000001276A,01,"4/13/2015 12:46:41 AM",1
00137A000001276A,01,"4/13/2015 12:47:40 AM",1
00137A000001276A,01,"4/13/2015 12:48:39 AM",1
00137A000001276A,01,"4/13/2015 12:49:38 AM",1
00137A000001276A,01,"4/13/2015 12:50:37 AM",1
00137A000001276A,01,"4/13/2015 12:51:36 AM",1
00137A000001276A,01,"4/13/2015 12:52:35 AM",1
00137A000001276A,01,"4/13/2015 12:53:34 AM",1
00137A000001276A,01,"4/13/2015 12:54:33 AM",1
00137A000001276A,01,"4/13/2015 12:55:32 AM",1
00137A000001276A,01,"4/13/2015 12:56:31 AM",1
