,IEEE,00137A000001276C
,EP,01
,DeviceName,Z311G 1-3
,BeginTime,2014-10-01
,EndTime,2014-10-01

IEEE,EP,Intime,Lux
00137A000001276C,01,"10/1/2014 12:00:26 AM",344
00137A000001276C,01,"10/1/2014 12:01:25 AM",344
00137A000001276C,01,"10/1/2014 12:01:25 AM",344
00137A000001276C,01,"10/1/2014 12:02:24 AM",344
00137A000001276C,01,"10/1/2014 12:04:22 AM",346
00137A000001276C,01,"10/1/2014 12:05:21 AM",346
00137A000001276C,01,"10/1/2014 12:06:20 AM",344
00137A000001276C,01,"10/1/2014 12:07:19 AM",344
00137A000001276C,01,"10/1/2014 12:08:18 AM",344
00137A000001276C,01,"10/1/2014 12:09:17 AM",344
00137A000001276C,01,"10/1/2014 12:10:16 AM",344
00137A000001276C,01,"10/1/2014 12:11:15 AM",344
00137A000001276C,01,"10/1/2014 12:11:15 AM",344
00137A000001276C,01,"10/1/2014 12:12:14 AM",344
00137A000001276C,01,"10/1/2014 12:13:13 AM",346
00137A000001276C,01,"10/1/2014 12:13:13 AM",346
00137A000001276C,01,"10/1/2014 12:14:12 AM",344
00137A000001276C,01,"10/1/2014 12:15:11 AM",346
00137A000001276C,01,"10/1/2014 12:16:10 AM",344
00137A000001276C,01,"10/1/2014 12:17:09 AM",344
00137A000001276C,01,"10/1/2014 12:18:08 AM",346
00137A000001276C,01,"10/1/2014 12:19:07 AM",344
00137A000001276C,01,"10/1/2014 12:20:06 AM",344
00137A000001276C,01,"10/1/2014 12:21:05 AM",344
00137A000001276C,01,"10/1/2014 12:22:04 AM",344
00137A000001276C,01,"10/1/2014 12:23:03 AM",344
00137A000001276C,01,"10/1/2014 12:24:02 AM",344
00137A000001276C,01,"10/1/2014 12:25:01 AM",344
00137A000001276C,01,"10/1/2014 12:26:00 AM",344
00137A000001276C,01,"10/1/2014 12:26:59 AM",344
00137A000001276C,01,"10/1/2014 12:27:58 AM",344
00137A000001276C,01,"10/1/2014 12:28:57 AM",344
00137A000001276C,01,"10/1/2014 12:29:56 AM",346
00137A000001276C,01,"10/1/2014 12:30:55 AM",344
00137A000001276C,01,"10/1/2014 12:31:54 AM",344
00137A000001276C,01,"10/1/2014 12:32:53 AM",346
00137A000001276C,01,"10/1/2014 12:33:52 AM",344
00137A000001276C,01,"10/1/2014 12:34:51 AM",346
00137A000001276C,01,"10/1/2014 12:35:50 AM",344
00137A000001276C,01,"10/1/2014 12:36:49 AM",346
00137A000001276C,01,"10/1/2014 12:37:48 AM",346
00137A000001276C,01,"10/1/2014 12:38:47 AM",346
00137A000001276C,01,"10/1/2014 12:39:46 AM",346
00137A000001276C,01,"10/1/2014 12:40:45 AM",346
00137A000001276C,01,"10/1/2014 12:41:44 AM",346
00137A000001276C,01,"10/1/2014 12:42:43 AM",344
00137A000001276C,01,"10/1/2014 12:43:42 AM",344
00137A000001276C,01,"10/1/2014 12:44:41 AM",344
00137A000001276C,01,"10/1/2014 12:45:40 AM",344
00137A000001276C,01,"10/1/2014 12:46:39 AM",344
00137A000001276C,01,"10/1/2014 12:47:38 AM",344
00137A000001276C,01,"10/1/2014 12:48:37 AM",344
00137A000001276C,01,"10/1/2014 12:48:37 AM",344
00137A000001276C,01,"10/1/2014 12:49:36 AM",344
00137A000001276C,01,"10/1/2014 12:50:35 AM",344
00137A000001276C,01,"10/1/2014 12:51:34 AM",344
00137A000001276C,01,"10/1/2014 12:52:33 AM",344
00137A000001276C,01,"10/1/2014 12:53:32 AM",344
00137A000001276C,01,"10/1/2014 12:54:31 AM",346
00137A000001276C,01,"10/1/2014 12:55:30 AM",344
00137A000001276C,01,"10/1/2014 12:56:29 AM",344
00137A000001276C,01,"10/1/2014 12:57:28 AM",344
00137A000001276C,01,"10/1/2014 12:58:27 AM",344
00137A000001276C,01,"10/1/2014 12:59:26 AM",346
00137A000001276C,01,"10/1/2014 1:00:25 AM",344
00137A000001276C,01,"10/1/2014 1:01:24 AM",344
00137A000001276C,01,"10/1/2014 1:02:23 AM",346
00137A000001276C,01,"10/1/2014 1:03:22 AM",344
00137A000001276C,01,"10/1/2014 1:04:21 AM",344
00137A000001276C,01,"10/1/2014 1:05:20 AM",346
00137A000001276C,01,"10/1/2014 1:06:19 AM",344
00137A000001276C,01,"10/1/2014 1:07:18 AM",344
00137A000001276C,01,"10/1/2014 1:08:17 AM",344
00137A000001276C,01,"10/1/2014 1:09:16 AM",344
00137A000001276C,01,"10/1/2014 1:10:15 AM",344
00137A000001276C,01,"10/1/2014 1:11:14 AM",344
00137A000001276C,01,"10/1/2014 1:12:13 AM",344
00137A000001276C,01,"10/1/2014 1:13:12 AM",344
00137A000001276C,01,"10/1/2014 1:14:11 AM",346
00137A000001276C,01,"10/1/2014 1:15:10 AM",344
00137A000001276C,01,"10/1/2014 1:16:09 AM",346
00137A000001276C,01,"10/1/2014 1:17:08 AM",344
00137A000001276C,01,"10/1/2014 1:18:07 AM",346
00137A000001276C,01,"10/1/2014 1:19:06 AM",344
00137A000001276C,01,"10/1/2014 1:20:05 AM",344
00137A000001276C,01,"10/1/2014 1:21:04 AM",346
00137A000001276C,01,"10/1/2014 1:22:03 AM",344
00137A000001276C,01,"10/1/2014 1:23:02 AM",344
00137A000001276C,01,"10/1/2014 1:24:01 AM",344
00137A000001276C,01,"10/1/2014 1:25:00 AM",346
00137A000001276C,01,"10/1/2014 1:25:59 AM",344
00137A000001276C,01,"10/1/2014 1:26:58 AM",346
00137A000001276C,01,"10/1/2014 1:27:57 AM",346
00137A000001276C,01,"10/1/2014 1:28:56 AM",346
00137A000001276C,01,"10/1/2014 1:29:55 AM",346
00137A000001276C,01,"10/1/2014 1:30:54 AM",344
00137A000001276C,01,"10/1/2014 1:31:53 AM",346
00137A000001276C,01,"10/1/2014 1:32:52 AM",346
00137A000001276C,01,"10/1/2014 1:33:51 AM",346
00137A000001276C,01,"10/1/2014 1:34:50 AM",344
00137A000001276C,01,"10/1/2014 1:35:49 AM",346
00137A000001276C,01,"10/1/2014 1:36:48 AM",346
00137A000001276C,01,"10/1/2014 1:37:47 AM",346
00137A000001276C,01,"10/1/2014 1:38:46 AM",344
00137A000001276C,01,"10/1/2014 1:39:45 AM",346
00137A000001276C,01,"10/1/2014 1:40:44 AM",346
00137A000001276C,01,"10/1/2014 1:41:43 AM",344
00137A000001276C,01,"10/1/2014 1:42:42 AM",344
00137A000001276C,01,"10/1/2014 1:43:41 AM",344
00137A000001276C,01,"10/1/2014 1:44:40 AM",344
00137A000001276C,01,"10/1/2014 1:45:39 AM",344
00137A000001276C,01,"10/1/2014 1:46:38 AM",344
00137A000001276C,01,"10/1/2014 1:47:37 AM",346
00137A000001276C,01,"10/1/2014 1:48:36 AM",344
00137A000001276C,01,"10/1/2014 1:49:35 AM",344
00137A000001276C,01,"10/1/2014 1:50:34 AM",346
00137A000001276C,01,"10/1/2014 1:51:33 AM",346
00137A000001276C,01,"10/1/2014 1:51:33 AM",346
00137A000001276C,01,"10/1/2014 1:52:32 AM",346
00137A000001276C,01,"10/1/2014 1:53:31 AM",346
00137A000001276C,01,"10/1/2014 1:54:30 AM",346
00137A000001276C,01,"10/1/2014 1:55:29 AM",344
00137A000001276C,01,"10/1/2014 1:56:28 AM",346
00137A000001276C,01,"10/1/2014 1:57:27 AM",346
00137A000001276C,01,"10/1/2014 1:58:26 AM",344
00137A000001276C,01,"10/1/2014 1:59:25 AM",344
00137A000001276C,01,"10/1/2014 2:00:24 AM",346
00137A000001276C,01,"10/1/2014 2:01:23 AM",344
00137A000001276C,01,"10/1/2014 2:02:22 AM",346
00137A000001276C,01,"10/1/2014 2:03:21 AM",344
00137A000001276C,01,"10/1/2014 2:04:20 AM",346
00137A000001276C,01,"10/1/2014 2:05:19 AM",346
00137A000001276C,01,"10/1/2014 2:06:18 AM",344
00137A000001276C,01,"10/1/2014 2:07:17 AM",346
00137A000001276C,01,"10/1/2014 2:08:16 AM",346
00137A000001276C,01,"10/1/2014 2:09:15 AM",344
00137A000001276C,01,"10/1/2014 2:10:14 AM",346
00137A000001276C,01,"10/1/2014 2:11:13 AM",346
00137A000001276C,01,"10/1/2014 2:12:12 AM",346
00137A000001276C,01,"10/1/2014 2:13:11 AM",346
00137A000001276C,01,"10/1/2014 2:14:10 AM",344
00137A000001276C,01,"10/1/2014 2:15:09 AM",344
00137A000001276C,01,"10/1/2014 2:16:08 AM",346
00137A000001276C,01,"10/1/2014 2:17:07 AM",344
00137A000001276C,01,"10/1/2014 2:18:06 AM",346
00137A000001276C,01,"10/1/2014 2:19:04 AM",344
00137A000001276C,01,"10/1/2014 2:20:03 AM",346
00137A000001276C,01,"10/1/2014 2:21:02 AM",346
00137A000001276C,01,"10/1/2014 2:21:02 AM",346
00137A000001276C,01,"10/1/2014 2:22:01 AM",346
00137A000001276C,01,"10/1/2014 2:23:00 AM",346
00137A000001276C,01,"10/1/2014 2:23:59 AM",346
00137A000001276C,01,"10/1/2014 2:24:58 AM",346
00137A000001276C,01,"10/1/2014 2:25:57 AM",346
00137A000001276C,01,"10/1/2014 2:26:56 AM",344
00137A000001276C,01,"10/1/2014 2:27:55 AM",346
00137A000001276C,01,"10/1/2014 2:28:54 AM",346
00137A000001276C,01,"10/1/2014 2:29:53 AM",344
00137A000001276C,01,"10/1/2014 2:30:52 AM",346
00137A000001276C,01,"10/1/2014 2:31:51 AM",346
00137A000001276C,01,"10/1/2014 2:32:50 AM",346
00137A000001276C,01,"10/1/2014 2:33:49 AM",346
00137A000001276C,01,"10/1/2014 2:34:48 AM",346
00137A000001276C,01,"10/1/2014 2:35:47 AM",344
00137A000001276C,01,"10/1/2014 2:36:46 AM",344
00137A000001276C,01,"10/1/2014 2:37:45 AM",346
00137A000001276C,01,"10/1/2014 2:38:44 AM",346
00137A000001276C,01,"10/1/2014 2:39:43 AM",344
00137A000001276C,01,"10/1/2014 2:40:42 AM",346
00137A000001276C,01,"10/1/2014 2:41:41 AM",346
00137A000001276C,01,"10/1/2014 2:43:39 AM",346
00137A000001276C,01,"10/1/2014 2:44:38 AM",346
00137A000001276C,01,"10/1/2014 2:45:37 AM",346
00137A000001276C,01,"10/1/2014 2:46:36 AM",344
00137A000001276C,01,"10/1/2014 2:47:35 AM",346
00137A000001276C,01,"10/1/2014 2:48:34 AM",346
00137A000001276C,01,"10/1/2014 2:49:33 AM",346
00137A000001276C,01,"10/1/2014 2:50:32 AM",346
00137A000001276C,01,"10/1/2014 2:51:31 AM",346
00137A000001276C,01,"10/1/2014 2:52:30 AM",346
00137A000001276C,01,"10/1/2014 2:53:29 AM",346
00137A000001276C,01,"10/1/2014 2:54:28 AM",346
00137A000001276C,01,"10/1/2014 2:55:27 AM",344
00137A000001276C,01,"10/1/2014 2:56:26 AM",344
00137A000001276C,01,"10/1/2014 2:57:25 AM",346
00137A000001276C,01,"10/1/2014 2:58:24 AM",346
00137A000001276C,01,"10/1/2014 2:59:23 AM",346
00137A000001276C,01,"10/1/2014 3:00:22 AM",346
00137A000001276C,01,"10/1/2014 3:00:22 AM",346
00137A000001276C,01,"10/1/2014 3:01:21 AM",346
00137A000001276C,01,"10/1/2014 3:02:20 AM",346
00137A000001276C,01,"10/1/2014 3:03:19 AM",346
00137A000001276C,01,"10/1/2014 3:04:18 AM",344
00137A000001276C,01,"10/1/2014 3:05:17 AM",346
00137A000001276C,01,"10/1/2014 3:06:16 AM",346
00137A000001276C,01,"10/1/2014 3:07:15 AM",344
00137A000001276C,01,"10/1/2014 3:08:14 AM",344
00137A000001276C,01,"10/1/2014 3:09:13 AM",346
00137A000001276C,01,"10/1/2014 3:10:12 AM",344
00137A000001276C,01,"10/1/2014 3:11:11 AM",346
00137A000001276C,01,"10/1/2014 3:12:10 AM",346
00137A000001276C,01,"10/1/2014 3:13:09 AM",344
00137A000001276C,01,"10/1/2014 3:14:08 AM",346
00137A000001276C,01,"10/1/2014 3:15:07 AM",346
00137A000001276C,01,"10/1/2014 3:16:06 AM",346
00137A000001276C,01,"10/1/2014 3:17:05 AM",346
00137A000001276C,01,"10/1/2014 3:18:04 AM",346
00137A000001276C,01,"10/1/2014 3:19:03 AM",346
00137A000001276C,01,"10/1/2014 3:20:02 AM",344
00137A000001276C,01,"10/1/2014 3:21:01 AM",346
00137A000001276C,01,"10/1/2014 3:22:00 AM",346
00137A000001276C,01,"10/1/2014 3:22:59 AM",346
00137A000001276C,01,"10/1/2014 3:23:58 AM",346
00137A000001276C,01,"10/1/2014 3:24:57 AM",346
00137A000001276C,01,"10/1/2014 3:25:56 AM",346
00137A000001276C,01,"10/1/2014 3:26:55 AM",344
00137A000001276C,01,"10/1/2014 3:27:54 AM",346
00137A000001276C,01,"10/1/2014 3:28:53 AM",346
00137A000001276C,01,"10/1/2014 3:29:52 AM",346
00137A000001276C,01,"10/1/2014 3:30:51 AM",346
00137A000001276C,01,"10/1/2014 3:31:50 AM",346
00137A000001276C,01,"10/1/2014 3:32:49 AM",346
00137A000001276C,01,"10/1/2014 3:33:48 AM",346
00137A000001276C,01,"10/1/2014 3:34:47 AM",346
00137A000001276C,01,"10/1/2014 3:35:46 AM",346
00137A000001276C,01,"10/1/2014 3:36:45 AM",346
00137A000001276C,01,"10/1/2014 3:37:44 AM",346
00137A000001276C,01,"10/1/2014 3:38:43 AM",346
00137A000001276C,01,"10/1/2014 3:38:43 AM",346
00137A000001276C,01,"10/1/2014 3:39:42 AM",344
00137A000001276C,01,"10/1/2014 3:40:41 AM",346
00137A000001276C,01,"10/1/2014 3:41:40 AM",346
00137A000001276C,01,"10/1/2014 3:42:39 AM",346
00137A000001276C,01,"10/1/2014 3:43:38 AM",346
00137A000001276C,01,"10/1/2014 3:44:37 AM",346
00137A000001276C,01,"10/1/2014 3:45:36 AM",346
00137A000001276C,01,"10/1/2014 3:46:35 AM",346
00137A000001276C,01,"10/1/2014 3:47:34 AM",347
00137A000001276C,01,"10/1/2014 3:48:33 AM",346
00137A000001276C,01,"10/1/2014 3:49:32 AM",346
00137A000001276C,01,"10/1/2014 3:50:31 AM",346
00137A000001276C,01,"10/1/2014 3:51:30 AM",346
00137A000001276C,01,"10/1/2014 3:52:29 AM",346
00137A000001276C,01,"10/1/2014 3:52:29 AM",346
00137A000001276C,01,"10/1/2014 3:53:28 AM",346
00137A000001276C,01,"10/1/2014 3:54:27 AM",344
00137A000001276C,01,"10/1/2014 3:55:26 AM",346
00137A000001276C,01,"10/1/2014 3:56:25 AM",346
