,IEEE,00137A0000011800
,EP,01
,DeviceName,Z815J 1-2
,BeginTime,2014-11-07
,EndTime,2014-11-10

IEEE,EP,Intime,AMP,VOL,Power,Energy,EnergyK
00137A0000011800,01,"11/7/2014 12:00:09 AM",556,119,65,3771,134.843
00137A0000011800,01,"11/7/2014 12:00:19 AM",556,119,65,3772,134.844
00137A0000011800,01,"11/7/2014 12:00:29 AM",555,118,65,3772,134.844
00137A0000011800,01,"11/7/2014 12:00:39 AM",555,118,65,3772,134.844
00137A0000011800,01,"11/7/2014 12:00:49 AM",555,119,65,3772,134.844
00137A0000011800,01,"11/7/2014 12:00:59 AM",556,119,66,3772,134.844
00137A0000011800,01,"11/7/2014 12:01:09 AM",557,119,66,3772,134.844
00137A0000011800,01,"11/7/2014 12:01:19 AM",556,118,65,3772,134.844
00137A0000011800,01,"11/7/2014 12:01:29 AM",555,118,65,3773,134.845
00137A0000011800,01,"11/7/2014 12:01:39 AM",555,118,65,3773,134.845
00137A0000011800,01,"11/7/2014 12:01:49 AM",556,119,66,3773,134.845
00137A0000011800,01,"11/7/2014 12:01:59 AM",557,119,66,3773,134.845
00137A0000011800,01,"11/7/2014 12:02:09 AM",556,119,65,3773,134.845
00137A0000011800,01,"11/7/2014 12:02:19 AM",556,118,65,3773,134.845
00137A0000011800,01,"11/7/2014 12:02:29 AM",555,118,65,3774,134.846
00137A0000011800,01,"11/7/2014 12:02:39 AM",557,119,66,3774,134.846
00137A0000011800,01,"11/7/2014 12:02:49 AM",555,118,65,3774,134.846
00137A0000011800,01,"11/7/2014 12:02:59 AM",555,118,65,3774,134.846
00137A0000011800,01,"11/7/2014 12:03:09 AM",556,119,65,3774,134.846
00137A0000011800,01,"11/7/2014 12:03:19 AM",556,119,66,3774,134.846
00137A0000011800,01,"11/7/2014 12:03:29 AM",556,118,65,3774,134.846
00137A0000011800,01,"11/7/2014 12:03:39 AM",557,119,66,3775,134.847
00137A0000011800,01,"11/7/2014 12:03:49 AM",556,119,65,3775,134.847
00137A0000011800,01,"11/7/2014 12:03:59 AM",556,118,65,3775,134.847
00137A0000011800,01,"11/7/2014 12:04:09 AM",555,119,65,3775,134.847
00137A0000011800,01,"11/7/2014 12:04:19 AM",556,118,65,3775,134.847
00137A0000011800,01,"11/7/2014 12:04:29 AM",555,119,65,3775,134.847
00137A0000011800,01,"11/7/2014 12:04:39 AM",555,119,65,3776,134.848
00137A0000011800,01,"11/7/2014 12:04:49 AM",555,118,65,3776,134.848
00137A0000011800,01,"11/7/2014 12:04:59 AM",554,119,65,3776,134.848
00137A0000011800,01,"11/7/2014 12:05:09 AM",555,119,66,3776,134.848
00137A0000011800,01,"11/7/2014 12:05:19 AM",555,119,65,3776,134.848
00137A0000011800,01,"11/7/2014 12:05:29 AM",555,118,65,3776,134.848
00137A0000011800,01,"11/7/2014 12:05:39 AM",556,119,66,3777,134.849
00137A0000011800,01,"11/7/2014 12:05:49 AM",556,119,65,3777,134.849
00137A0000011800,01,"11/7/2014 12:05:59 AM",554,119,65,3777,134.849
00137A0000011800,01,"11/7/2014 12:06:09 AM",555,119,66,3777,134.849
00137A0000011800,01,"11/7/2014 12:06:19 AM",555,119,65,3777,134.849
00137A0000011800,01,"11/7/2014 12:06:29 AM",555,119,65,3777,134.849
00137A0000011800,01,"11/7/2014 12:06:39 AM",555,118,65,3777,134.849
00137A0000011800,01,"11/7/2014 12:06:49 AM",556,119,66,3778,134.85
00137A0000011800,01,"11/7/2014 12:06:59 AM",554,119,65,3778,134.85
00137A0000011800,01,"11/7/2014 12:07:09 AM",556,119,66,3778,134.85
00137A0000011800,01,"11/7/2014 12:07:19 AM",556,119,66,3778,134.85
00137A0000011800,01,"11/7/2014 12:07:29 AM",556,119,66,3778,134.85
00137A0000011800,01,"11/7/2014 12:07:39 AM",556,119,66,3778,134.85
00137A0000011800,01,"11/7/2014 12:07:49 AM",555,119,65,3779,134.851
00137A0000011800,01,"11/7/2014 12:07:59 AM",555,119,65,3779,134.851
00137A0000011800,01,"11/7/2014 12:08:09 AM",555,119,65,3779,134.851
00137A0000011800,01,"11/7/2014 12:08:19 AM",555,118,65,3779,134.851
00137A0000011800,01,"11/7/2014 12:08:29 AM",555,119,65,3779,134.851
00137A0000011800,01,"11/7/2014 12:08:39 AM",556,119,66,3779,134.851
00137A0000011800,01,"11/7/2014 12:08:49 AM",554,119,65,3779,134.851
00137A0000011800,01,"11/7/2014 12:08:59 AM",555,119,66,3780,134.852
00137A0000011800,01,"11/7/2014 12:09:09 AM",554,119,65,3780,134.852
00137A0000011800,01,"11/7/2014 12:09:19 AM",555,119,65,3780,134.852
00137A0000011800,01,"11/7/2014 12:09:29 AM",555,119,65,3780,134.852
00137A0000011800,01,"11/7/2014 12:09:39 AM",554,118,65,3780,134.852
00137A0000011800,01,"11/7/2014 12:09:49 AM",554,119,65,3780,134.852
00137A0000011800,01,"11/7/2014 12:09:59 AM",554,119,65,3781,134.853
00137A0000011800,01,"11/7/2014 12:10:09 AM",554,119,65,3781,134.853
00137A0000011800,01,"11/7/2014 12:10:19 AM",554,119,65,3781,134.853
00137A0000011800,01,"11/7/2014 12:10:29 AM",554,119,65,3781,134.853
00137A0000011800,01,"11/7/2014 12:10:39 AM",554,119,65,3781,134.853
00137A0000011800,01,"11/7/2014 12:10:49 AM",555,119,65,3781,134.853
00137A0000011800,01,"11/7/2014 12:10:59 AM",555,119,65,3782,134.854
00137A0000011800,01,"11/7/2014 12:11:09 AM",555,119,65,3782,134.854
00137A0000011800,01,"11/7/2014 12:11:19 AM",554,119,65,3782,134.854
00137A0000011800,01,"11/7/2014 12:11:29 AM",555,119,65,3782,134.854
00137A0000011800,01,"11/7/2014 12:11:39 AM",554,119,65,3782,134.854
00137A0000011800,01,"11/7/2014 12:11:49 AM",556,119,65,3782,134.854
00137A0000011800,01,"11/7/2014 12:11:59 AM",555,119,65,3782,134.854
00137A0000011800,01,"11/7/2014 12:12:09 AM",554,119,65,3783,134.855
00137A0000011800,01,"11/7/2014 12:12:19 AM",555,119,66,3783,134.855
00137A0000011800,01,"11/7/2014 12:12:29 AM",555,119,65,3783,134.855
00137A0000011800,01,"11/7/2014 12:12:39 AM",554,119,65,3783,134.855
00137A0000011800,01,"11/7/2014 12:12:49 AM",556,119,65,3783,134.855
00137A0000011800,01,"11/7/2014 12:12:59 AM",555,119,65,3783,134.855
00137A0000011800,01,"11/7/2014 12:13:10 AM",555,118,65,3784,134.856
00137A0000011800,01,"11/7/2014 12:13:20 AM",555,119,65,3784,134.856
00137A0000011800,01,"11/7/2014 12:13:30 AM",556,119,66,3784,134.856
00137A0000011800,01,"11/7/2014 12:13:40 AM",556,119,66,3784,134.856
00137A0000011800,01,"11/7/2014 12:13:50 AM",556,119,66,3784,134.856
00137A0000011800,01,"11/7/2014 12:14:00 AM",556,119,66,3784,134.856
00137A0000011800,01,"11/7/2014 12:14:10 AM",556,119,65,3784,134.856
00137A0000011800,01,"11/7/2014 12:14:20 AM",555,119,65,3785,134.857
00137A0000011800,01,"11/7/2014 12:14:30 AM",555,118,65,3785,134.857
